Date,Month,Year,Holidays_Count,Days,Area,AQI,full_date
8,2,2024,0,3,North Campus DU,165.0,2024-02-08
8,2,2024,0,3,Dr. Karni Singh Shooting Range,161.0,2024-02-08
8,2,2024,0,3,Bawana,214.0,2024-02-08
8,2,2024,0,3,Alipur,129.0,2024-02-08
8,2,2024,0,3,Sri Aurobindo Marg,157.0,2024-02-08
8,2,2024,0,3,R K Puram,188.0,2024-02-08
9,2,2024,0,4,Bawana,236.0,2024-02-09
9,2,2024,0,4,Sri Aurobindo Marg,112.0,2024-02-09
9,2,2024,0,4,Punjabi Bagh,152.0,2024-02-09
9,2,2024,0,4,Alipur,113.0,2024-02-09
9,2,2024,0,4,R K Puram,120.0,2024-02-09
9,2,2024,0,4,North Campus DU,151.0,2024-02-09
9,2,2024,0,4,Okhla Phase-2,116.0,2024-02-09
9,2,2024,0,4,Dr. Karni Singh Shooting Range,117.0,2024-02-09
9,2,2024,0,4,Narela,152.0,2024-02-09
9,2,2024,0,4,ITO,162.0,2024-02-09
10,2,2024,0,5,R K Puram,316.0,2024-02-10
10,2,2024,0,5,ITO,302.0,2024-02-10
10,2,2024,0,5,Okhla Phase-2,297.0,2024-02-10
10,2,2024,0,5,Sri Aurobindo Marg,250.0,2024-02-10
10,2,2024,0,5,Bawana,338.0,2024-02-10
10,2,2024,0,5,Narela,306.0,2024-02-10
10,2,2024,0,5,Alipur,261.0,2024-02-10
10,2,2024,0,5,Punjabi Bagh,335.0,2024-02-10
10,2,2024,0,5,Dr. Karni Singh Shooting Range,294.0,2024-02-10
10,2,2024,0,5,North Campus DU,288.0,2024-02-10
11,2,2024,0,6,R K Puram,354.0,2024-02-11
11,2,2024,0,6,Punjabi Bagh,346.0,2024-02-11
11,2,2024,0,6,North Campus DU,324.0,2024-02-11
11,2,2024,0,6,Sri Aurobindo Marg,335.0,2024-02-11
11,2,2024,0,6,Narela,308.0,2024-02-11
11,2,2024,0,6,Dr. Karni Singh Shooting Range,354.0,2024-02-11
11,2,2024,0,6,ITO,288.0,2024-02-11
11,2,2024,0,6,Alipur,281.0,2024-02-11
11,2,2024,0,6,Okhla Phase-2,345.0,2024-02-11
11,2,2024,0,6,Bawana,338.0,2024-02-11
12,2,2024,0,0,Narela,284.0,2024-02-12
12,2,2024,0,0,Okhla Phase-2,328.0,2024-02-12
12,2,2024,0,0,Punjabi Bagh,327.0,2024-02-12
12,2,2024,0,0,North Campus DU,306.0,2024-02-12
12,2,2024,0,0,ITO,288.0,2024-02-12
12,2,2024,0,0,Sri Aurobindo Marg,316.0,2024-02-12
12,2,2024,0,0,Dr. Karni Singh Shooting Range,334.0,2024-02-12
12,2,2024,0,0,Bawana,319.0,2024-02-12
12,2,2024,0,0,R K Puram,334.0,2024-02-12
12,2,2024,0,0,Alipur,255.0,2024-02-12
13,2,2024,0,1,Sri Aurobindo Marg,357.0,2024-02-13
13,2,2024,0,1,North Campus DU,353.0,2024-02-13
13,2,2024,0,1,R K Puram,378.0,2024-02-13
13,2,2024,0,1,Alipur,324.0,2024-02-13
13,2,2024,0,1,ITO,317.0,2024-02-13
13,2,2024,0,1,Okhla Phase-2,357.0,2024-02-13
13,2,2024,0,1,Dr. Karni Singh Shooting Range,357.0,2024-02-13
